"(Intercept)","Distress","Adherence","Relationship"
0.296902580065112,-0.0616354791028151,-0.295170503189149,-0.0268001089720122
-0.33720853174559,0.175727357393465,0.301556721014272,0
0.131254674380765,0.0678207790539484,0,0
0.0588494224374452,-0.0793481081338965,0.220609271203886,0
-0.379397290454244,-0.0311725826927584,-0.00540236512084545,0
-0.233079101913208,0.265500920065122,0,0
0.216646132895929,-0.177167461264611,-0.0698504455286359,0
0.334455638431245,0.0547376893603855,-0.23448670404139,0
0.220365323518417,0.189858588247911,-0.203602100190452,-0.333695648003505
0.583170017980043,0.133540457945973,-0.221745791901869,0
-0.347896897790236,0.0802115959002511,0,0
0.431241620544732,-0.093618048937794,0.111339522782112,-0.119725040466153
0.8788066839011,0.137665197577827,0,-0.279335527932502
-0.67398347848024,0.0127433521068237,0,0.113838775618588
0.710245544051291,-0.0188796498232147,-0.187721038847147,-0.0347510955025779
0.338072353326541,-0.0269871673591282,0.0679734467952807,0
-0.115427939093917,0.15133235249516,0.156008209483056,0
-0.335022975426064,0.132219613677139,0.250853520035529,0
-0.576598007256593,0.152689697648701,0,0
-0.284579885501158,0.0928239166514672,0,0.0283614522942191
0.0157208659582013,0.066585319566554,0,0
-0.290432821995028,0.190495967654543,-0.200048762787401,0
0.131121740782388,0.126835126267388,0.143522438319459,0.261185110476517
-0.71930142572995,-0.118497170648824,-0.594197502713278,0
-0.278914702113289,0.0400144910211829,-0.0349838803408949,0
0.0184804466798816,-0.127287894416979,-0.219251330968115,0
0.435910761249461,0.0600160619102992,0.115745919145787,0
-0.427549100214722,0.126276463057747,0.0856035492954205,0
0.224280232429384,0.125248544748214,0,0
-0.160345293332121,0.426579545805893,0,0.0265032345441924
-0.385518255974538,-0.177344341132412,0,0.177189574574115
0.340801731577445,-0.0475366922483832,0,0.0541529857668885
0.824218145275327,-0.123541960890901,0,-0.269629635138311
-0.116903453866701,-0.0721866188012683,0,0
0.732564719436429,0.0649921521679729,-0.566124087137907,0.201331675332194
-0.303255332043526,-0.0515594660636529,-0.0168947840269194,-0.253860705113977
1.07367480200558,-0.0970811380043923,-0.371409758094387,0
0.211972614533584,0.0660743691598102,-0.140689083600162,0
0.434735079330549,0.065694568739347,0,0
0.383168248717471,-0.122872027622406,0,0.00337986464534714
-0.097963478167662,0.0403415980026184,0,0
0.110944003589884,0.244550578198054,-0.350584082977701,0.0543205502761759
-0.374320760693902,0.0473075918808894,0.241472851651805,-0.104213815238856
0.554601219477896,0.226235327814441,-0.28034821823308,0
0.141138109249994,-0.071847841676037,0,0
-0.957711677266436,-0.0413210253774319,-0.130027906365751,0.101454345349614
0.0846691160404835,0.0310514028926928,0.0450889692985735,0
0.194138088783644,0.192628493630886,0.149539154618156,0
0.177886852020351,0.203170605723567,0,0.0245669609507597
-0.64747937559411,-0.218429606829051,0,0.0288810390187026
0.380882927218503,0.17193461853946,0,0.0911184142645573
0.321572637306385,-0.00455973170101352,0.249271966303995,0
0.672802894086897,-0.179281204261017,0,0
0.242194629480148,0.118780962239703,-0.221312601291789,-0.0286521950155838
0.700672694460054,-0.252379532612612,0,0
-0.0875017803097215,0.131655051525426,-0.285111642321748,0
-0.422782623080474,-0.150382927296565,0.0560008085687796,0
-1.0244972142398,-0.183623024070579,-0.18273858302679,0.263350931645679
-0.13318481234247,0.256794819484578,0,-0.0179499622030333
-2.13456169564264,-0.0770840084794322,-0.14422390883946,0.0247051176630552
0.472477161800849,-0.133280276498635,-0.237567524584809,-0.305197452445431
0.612947502768802,-0.204679079531727,-0.272688391136741,-0.0433181491982366
0.20324869228685,0.0171371025495526,0.241089916580676,0.111234160628959
